Name,Type,Regular price,Description,Short description,Categories,SKU,Images
Laptop Honor,simple,195,"Laptop Honor được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop Honor chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1039,R (1).jpg
Laptop ThinkPad,simple,200,"Laptop ThinkPad được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Laptop ThinkPad chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Laptop,SKU1040,R (1).jpg
Đồng hồ thông minh Apple,simple,105,"Đồng hồ thông minh Apple được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ thông minh Apple chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1041,cac-loai-dong-ho-1.jpg
Đồng hồ thông minh Samsung,simple,110,"Đồng hồ thông minh Samsung được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ thông minh Samsung chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1042,cac-loai-dong-ho-1.jpg
Đồng hồ thông minh Xiaomi,simple,115,"Đồng hồ thông minh Xiaomi được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ thông minh Xiaomi chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1043,cac-loai-dong-ho-1.jpg
Đồng hồ thông minh Huawei,simple,120,"Đồng hồ thông minh Huawei được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ thông minh Huawei chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1044,cac-loai-dong-ho-1.jpg
Đồng hồ thông minh Garmin,simple,125,"Đồng hồ thông minh Garmin được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ thông minh Garmin chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1045,cac-loai-dong-ho-1.jpg
Đồng hồ thông minh Amazfit,simple,130,"Đồng hồ thông minh Amazfit được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ thông minh Amazfit chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1046,cac-loai-dong-ho-1.jpg
Đồng hồ Casio,simple,135,"Đồng hồ Casio được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ Casio chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1047,cac-loai-dong-ho-1.jpg
Đồng hồ Seiko,simple,140,"Đồng hồ Seiko được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ Seiko chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1048,cac-loai-dong-ho-1.jpg
Đồng hồ Citizen,simple,145,"Đồng hồ Citizen được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ Citizen chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1049,cac-loai-dong-ho-1.jpg
Đồng hồ Orient,simple,150,"Đồng hồ Orient được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ Orient chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1050,cac-loai-dong-ho-1.jpg
Đồng hồ Tissot,simple,155,"Đồng hồ Tissot được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ Tissot chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1051,cac-loai-dong-ho-1.jpg
Đồng hồ Fossil,simple,160,"Đồng hồ Fossil được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ Fossil chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1052,cac-loai-dong-ho-1.jpg
Đồng hồ Daniel Wellington,simple,165,"Đồng hồ Daniel Wellington được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ Daniel Wellington chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1053,cac-loai-dong-ho-1.jpg
Đồng hồ Skagen,simple,170,"Đồng hồ Skagen được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ Skagen chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1054,cac-loai-dong-ho-1.jpg
Đồng hồ Timex,simple,175,"Đồng hồ Timex được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ Timex chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1055,cac-loai-dong-ho-1.jpg
Đồng hồ MVMT,simple,180,"Đồng hồ MVMT được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ MVMT chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1056,cac-loai-dong-ho-1.jpg
Đồng hồ OPPO,simple,185,"Đồng hồ OPPO được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ OPPO chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1057,cac-loai-dong-ho-1.jpg
Đồng hồ Realme,simple,190,"Đồng hồ Realme được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ Realme chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1058,cac-loai-dong-ho-1.jpg
Đồng hồ Haylou,simple,195,"Đồng hồ Haylou được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ Haylou chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1059,cac-loai-dong-ho-1.jpg
Đồng hồ Kieslect,simple,200,"Đồng hồ Kieslect được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đồng hồ Kieslect chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Đồng hồ,SKU1060,cac-loai-dong-ho-1.jpg
Tai nghe Bluetooth,simple,105,"Tai nghe Bluetooth được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Tai nghe Bluetooth chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1061,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Tai nghe chụp tai,simple,110,"Tai nghe chụp tai được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Tai nghe chụp tai chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1062,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Chuột không dây,simple,115,"Chuột không dây được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Chuột không dây chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1063,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Bàn phím cơ,simple,120,"Bàn phím cơ được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Bàn phím cơ chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1064,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Sạc dự phòng,simple,125,"Sạc dự phòng được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Sạc dự phòng chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1065,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Cáp sạc nhanh,simple,130,"Cáp sạc nhanh được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Cáp sạc nhanh chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1066,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Ốp lưng điện thoại,simple,135,"Ốp lưng điện thoại được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Ốp lưng điện thoại chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1067,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Kính cường lực,simple,140,"Kính cường lực được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Kính cường lực chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1068,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Đế tản nhiệt laptop,simple,145,"Đế tản nhiệt laptop được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đế tản nhiệt laptop chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1069,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
USB dung lượng cao,simple,150,"USB dung lượng cao được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","USB dung lượng cao chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1070,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Ổ cứng di động,simple,155,"Ổ cứng di động được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Ổ cứng di động chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1071,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Thẻ nhớ microSD,simple,160,"Thẻ nhớ microSD được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Thẻ nhớ microSD chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1072,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Loa Bluetooth,simple,165,"Loa Bluetooth được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Loa Bluetooth chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1073,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Giá đỡ điện thoại,simple,170,"Giá đỡ điện thoại được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Giá đỡ điện thoại chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1074,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Dock sạc đa năng,simple,175,"Dock sạc đa năng được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Dock sạc đa năng chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1075,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Hub chuyển đổi USB-C,simple,180,"Hub chuyển đổi USB-C được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Hub chuyển đổi USB-C chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1076,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Đèn bàn LED,simple,185,"Đèn bàn LED được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Đèn bàn LED chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1077,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Balo laptop,simple,190,"Balo laptop được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Balo laptop chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1078,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Túi chống sốc laptop,simple,195,"Túi chống sốc laptop được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Túi chống sốc laptop chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1079,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
Bút cảm ứng,simple,200,"Bút cảm ứng được thiết kế với kiểu dáng hiện đại, độ bền cao và hiệu năng ổn định. Sản phẩm phù hợp cho công việc, học tập và giải trí.","Bút cảm ứng chất lượng cao, thiết kế hiện đại, phù hợp nhu cầu sử dụng hàng ngày.",Phụ kiện,SKU1080,phu-kien-dien-thoai-gia-si-tphcm-3.jpg
